review_id,customer_id,product_id,rating,review_text,review_date
REV-00001,CUST-0025,PROD-0029,5,Exceptional quality! Exactly what I was looking for.,2026-06-09 09:38:32
REV-00002,CUST-0051,PROD-0029,3,Average product. Meets expectations but nothing special.,2026-06-12 09:38:32
REV-00003,CUST-0022,PROD-0009,2,Disappointed with the quality.,2026-08-01 09:38:32
REV-00004,CUST-0020,PROD-0028,3,"Works okay, but could be improved.",2026-06-01 09:38:32
REV-00005,CUST-0038,PROD-0014,5,Works perfectly out of the box. 5 stars!,2026-06-15 09:38:32
REV-00006,CUST-0061,PROD-0012,4,Solid build quality and performs well.,2026-06-01 09:38:32
REV-00007,CUST-0038,PROD-0007,2,Disappointed with the quality.,2026-08-04 09:38:32
REV-00008,CUST-0083,PROD-0011,4,"Very satisfied overall, though shipping took an extra day.",2026-07-10 09:38:32
REV-00009,CUST-0063,PROD-0019,4,Solid build quality and performs well.,2026-08-08 09:38:32
REV-00010,CUST-0057,PROD-0015,3,Average product. Meets expectations but nothing special.,2026-07-08 09:38:32
REV-00011,CUST-0022,PROD-0026,3,Decent for the price point.,2026-07-16 09:38:32
REV-00012,CUST-0037,PROD-0025,5,Exceptional quality! Exactly what I was looking for.,2026-07-14 09:38:32
REV-00013,CUST-0037,PROD-0015,5,Works perfectly out of the box. 5 stars!,2026-06-19 09:38:32
REV-00014,CUST-0092,PROD-0018,3,Average product. Meets expectations but nothing special.,2026-06-18 09:38:32
REV-00015,CUST-0021,PROD-0008,2,Smaller than expected and feels cheaply made.,2026-08-11 09:38:32
REV-00016,CUST-0017,PROD-0015,3,Average product. Meets expectations but nothing special.,2026-06-25 09:38:32
REV-00017,CUST-0072,PROD-0023,1,"Poor quality, would not buy again.",2026-07-13 09:38:32
REV-00018,CUST-0019,PROD-0012,4,"Good quality product, reasonable price.",2026-08-06 09:38:32
REV-00019,CUST-0039,PROD-0004,5,Fast shipping and amazing product. Highly recommend!,2026-08-01 09:38:32
REV-00020,CUST-0099,PROD-0005,5,Fast shipping and amazing product. Highly recommend!,2026-06-18 09:38:32
REV-00021,CUST-0001,PROD-0024,4,Solid build quality and performs well.,2026-07-11 09:38:32
REV-00022,CUST-0083,PROD-0023,3,Decent for the price point.,2026-08-11 09:38:32
REV-00023,CUST-0086,PROD-0005,5,Works perfectly out of the box. 5 stars!,2026-07-25 09:38:32
REV-00024,CUST-0044,PROD-0023,2,Smaller than expected and feels cheaply made.,2026-06-04 09:38:32
REV-00025,CUST-0018,PROD-0022,4,"Very satisfied overall, though shipping took an extra day.",2026-06-02 09:38:32
